Zählung Helmchen,Scan-Dateiname,originale Scan-Nummer,Eintrag,Foliierung ar.,Foliierung lat.,logische Sortierung,Kommentar
fol. 94r,KB-E2_GB-C_189,#189,GB-C 189-x,346,CCCxlvii,,
fol. 94v,KB-E2_GB-C_190,#190,GB-C 190-x,346,,,
fol. 95r,KB-E2_GB-C_191,#191,GB-C 191-x,347,CCCxlviii,,
fol. 95v,KB-E2_GB-C_192,#192,GB-C 192-x,347,,,
fol. 96r,KB-E2_GB-C_193,#193,GB-C 193-x,348,CCCxlviiii,1430,
fol. 96v,KB-E2_GB-C_194,#194,GB-C 194-x,348,,,
fol. 97r,KB-E2_GB-C_195,#195,GB-C 195-x,349,CCCl,,
fol. 97v,KB-E2_GB-C_196,#196,GB-C 196-x,349,,,
fol. 98r,KB-E2_GB-C_197,#197,GB-C 197-x,350,CCCli,,
fol. 98v,KB-E2_GB-C_198,#198,GB-C 198-x,350,,,
fol. 99r,KB-E2_GB-C_199,#199,GB-C 199-x,351,CCClii,,
fol. 99v,KB-E2_GB-C_200,#200,GB-C 200-x,351,,,
fol. 100r,KB-E2_GB-C_201,#201,GB-C 201-x,352,CCCliii,,
fol. 100v,KB-E2_GB-C_202,#202,GB-C 202-x,352,,,
fol. 101r,KB-E2_GB-C_203,#203,GB-C 203-x,353,CCCliiii,,
fol. 101v,KB-E2_GB-C_204,#204,GB-C 204-x,353,,,
