"Zählung 
Helmchen",Scan-Dateiname,"originale 
Scan-Nummer",Eintrag,"Foliierung 
arabisch","Foliierung 
lateinisch",Kommentar
Vorderdeckel außen,GB-E_0000,#0001,,,,Zählung ab 0000: siehe README
Vorderdeckel innen,GB-E_0000a,,,,,nachträglich eingefügt
fol. 1r,GB-E_0001,#0002,(GRDB. WIEN),I,,
fol. 1v,GB-E_0002,,(Renovirt 1569),,,nachträglich eingefügt
fol. 2r,GB-E_0003,#0003,(Titelseite),II,,
fol. 2v,,,,,,Scan fehlt (Seite ist leer)
fol. 452r,GB-E_0902,#0902,GB-E 0902-x,452,,
fol. 452v,GB-E_0903,#0903,GB-E 0903-x,,,
fol. 453r,GB-E_0904,#0904,GB-E 0904-x,453,,
fol. 453v,GB-E_0905,#0905,GB-E 0905-x,,,
fol. 454r,GB-E_0906,#0906,GB-E 0906-x,454,,
fol. 454v,GB-E_0907,#0907,GB-E 0907-x,,,
fol. 455r,GB-E_0908,#0908,GB-E 0908-x,455,,
fol. 455v,GB-E_0909,#0909,GB-E 0909-x,,,
fol. 456r,GB-E_0910,#0910,GB-E 0910-x,456,,
fol. 456v,GB-E_0911,#0911,GB-E 0911-x,,,
fol. 457r,GB-E_0912,#0912,GB-E 0912-x,457,,
fol. 457v,GB-E_0913,#0913,GB-E 0913-x,,,
fol. 458r,GB-E_0914,#0914,GB-E 0914-x,458,,
fol. 458v,GB-E_0915,#0915,GB-E 0915-x,,,
fol. 459r,GB-E_0916,#0916,GB-E 0916-x,459,,
fol. 459v,GB-E_0917,#0917,GB-E 0917-x,,,
fol. 460r,GB-E_0918,#0918,(nur Forts.),460,,
fol. 460v,GB-E_0919,#0919,GB-E 0919-x,,,
fol. 461r,GB-E_0920,#0920,GB-E 0920-x,461,,
fol. 461v,GB-E_0921,#0921,GB-E 0921-x,,,
fol. 462r,GB-E_0922,#0922,GB-E 0922-x,462,,
fol. 462v,GB-E_0923,#0923,GB-E 0923-x,,,
fol. 463r,GB-E_0924,#0924,GB-E 0924-x,463,,
fol. 463v,GB-E_0925,#0925,GB-E 0925-x,,,
fol. 464r,GB-E_0926,#0926,GB-E 0926-x,464,,
fol. 464v,GB-E_0927,#0927,GB-E 0927-x,,,
fol. 465r,GB-E_0928,#0928,GB-E 0928-x,465,,
fol. 465v,GB-E_0929,#0929,GB-E 0929-x,,,
fol. 466r,GB-E_0930,#0930,GB-E 0930-x,466,,
fol. 466v,GB-E_0931,#0931,GB-E 0931-x,,,
fol. 467r,GB-E_0932,#0932,GB-E 0932-x,467,,
fol. 467v,GB-E_0933,#0933,GB-E 0933-x,,,
fol. 468r,GB-E_0934,#0934,GB-E 0934-x,468,,
fol. 468v,GB-E_0935,#0935,GB-E 0935-x,,,
fol. 469r,GB-E_0936,#0936,GB-E 0936-x,469,,
fol. 469v,GB-E_0937,#0937,GB-E 0937-x,,,
fol. 470r,GB-E_0938,#0938,GB-E 0938-x,470,,
fol. 470v,GB-E_0939,#0939,GB-E 0939-x,,,
fol. 471r,GB-E_0940,#0940,GB-E 0940-x,471,,
fol. 471v,GB-E_0941,#0941,GB-E 0941-x,,,
fol. 472r,GB-E_0942,#0942,GB-E 0942-x,472,,
fol. 472v,GB-E_0943,#0943,(nur Forts.),,,
fol. 473r,GB-E_0944,#0944,GB-E 0944-x,473,,
fol. 473v,GB-E_0945,#0945,GB-E 0945-x,,,
fol. 474r,GB-E_0946,#0946,GB-E 0946-x,474,,
fol. 474v,GB-E_0947,#0947,GB-E 0947-x,,,
fol. 475r,GB-E_0948,#0948,GB-E 0948-x,475,,
fol. 475v,GB-E_0949,#0949,GB-E 0949-x,,,
fol. 476r,GB-E_0950,#0950,GB-E 0950-x,476,,
fol. 476v,GB-E_0951,#0951,GB-E 0951-x,,,
fol. 477r,GB-E_0952,#0952,GB-E 0952-x,477,,
fol. 477v,GB-E_0953,#0953,GB-E 0953-x,,,
fol. 478r,GB-E_0954,#0954,GB-E 0954-x,478,,
fol. 478v,GB-E_0955,#0955,GB-E 0955-x,,,
fol. 479r,GB-E_0956,#0956,GB-E 0956-x,479,,
fol. 479v,GB-E_0957,#0957,GB-E 0957-x,,,
fol. 480r,GB-E_0958,#0958,GB-E 0958-x,480,,
fol. 480v,GB-E_0959,#0959,GB-E 0959-x,,,
fol. 481r,GB-E_0960,#0960,GB-E 0960-x,481,,
fol. 481v,GB-E_0961,#0961,GB-E 0961-x,,,
fol. 482r,GB-E_0962,#0962,GB-E 0962-x,482,,
fol. 482v,GB-E_0963,#0963,GB-E 0963-x,,,
fol. 483r,GB-E_0964,#0964,GB-E 0964-x,483,,
fol. 483v,GB-E_0965,#0965,GB-E 0965-x,,,
fol. 484r,GB-E_0966,#0966,GB-E 0966-x,484,,
fol. 484v,GB-E_0967,#0967,GB-E 0967-x,,,
fol. 485r,GB-E_0968,#0968,GB-E 0968-x,485,,
fol. 485v,GB-E_0969,#0969,GB-E 0969-x,,,
fol. 486r,GB-E_0970,#0970,GB-E 0970-x,486,,
fol. 486v,GB-E_0971,#0971,GB-E 0971-x,,,
fol. 487r,GB-E_0972,#0972,GB-E 0972-x,487,,
fol. 487v,GB-E_0973,#0973,GB-E 0973-x,,,
fol. 488r,GB-E_0974,#0974,GB-E 0974-x,488,,
fol. 488v,GB-E_0975,#0975,GB-E 0975-x,,,
fol. 489r,GB-E_0976,#0976,GB-E 0976-x,489,,
fol. 489v,GB-E_0977,#0977,GB-E 0977-x,,,
fol. 490r,GB-E_0978,#0978,GB-E 0978-x,490,,
fol. 490v,GB-E_0979,#0979,GB-E 0979-x,,,
fol. 491r,GB-E_0980,#0980,GB-E 0980-x,491,,
fol. 491v,GB-E_0981,#0981,GB-E 0981-x,,,
fol. 492r,GB-E_0982,#0982,GB-E 0982-x,492,,
fol. 492v,GB-E_0983,#0983,GB-E 0983-x,,,
fol. 493r,GB-E_0984,#0984,GB-E 0984-x,493,,
fol. 493v,GB-E_0985,#0985,GB-E 0985-x,,,
fol. 494r,GB-E_0986,#0986,GB-E 0986-x,494,,
fol. 494v,GB-E_0987,#0987,GB-E 0987-x,,,
fol. 495r,GB-E_0988,#0988,GB-E 0988-x,495,,
fol. 495v,GB-E_0989,#0989,GB-E 0989-x,,,
fol. 496r,GB-E_0990,#0990,GB-E 0990-x,496,,
fol. 496v,GB-E_0991,#0991,GB-E 0991-x,,,
fol. 497r,GB-E_0992,#0992,GB-E 0992-x,497,,
fol. 497v,GB-E_0993,#0993,GB-E 0993-x,,,
fol. 498r,GB-E_0994,#0994,GB-E 0994-x,498,,
fol. 498v,GB-E_0995,#0995,GB-E 0995-x,,,
fol. 499r,GB-E_0996,#0996,GB-E 0996-x,499,,
fol. 499v,GB-E_0997,#0997,GB-E 0997-x,,,
fol. 500r,GB-E_0998,#0998,GB-E 0998-x,500,,
fol. 500v,GB-E_0999,#0999,(nur Forts.),,,
fol. 501r,GB-E_1000,#1000,GB-E 1000-x,501,,
fol. 501v,GB-E_1001,#1001,GB-E 1001-x,,,
fol. 502r,GB-E_1002,#1002,GB-E 1002-x,502,,
fol. 502v,GB-E_1003,#1003,GB-E 1003-x,,,
fol. 503r,GB-E_1004,#1004,GB-E 1004-x,503,,
fol. 503v,GB-E_1005,#1005,GB-E 1005-x,,,
fol. 504r,GB-E_1006,#1006,GB-E 1006-x,504,,
fol. 504v,GB-E_1007,#1007,GB-E 1007-x,,,
fol. 505r,GB-E_1008,#1008,GB-E 1008-x,505,,
fol. 505v,GB-E_1009,#1009,GB-E 1009-x,,,
fol. 506r,GB-E_1010,#1010,GB-E 1010-x,508,,
fol. 506v,GB-E_1011,#1011,GB-E 1011-x,,,
fol. 507r,GB-E_1012,#1012,GB-E 1012-x,507,,
fol. 507v,GB-E_1013,#1013,GB-E 1013-x,,,
fol. 508r,GB-E_1014,#1014,GB-E 1014-x,508,,
fol. 508v,GB-E_1015,#1015,GB-E 1015-x,,,
fol. 509r,GB-E_1016,#1016,GB-E 1016-x,509,,
fol. 509v,GB-E_1017,#1017,GB-E 1017-x,,,
fol. 510r,GB-E_1018,#1018,GB-E 1018-x,510,,
fol. 510v,GB-E_1019,#1019,GB-E 1019-x,,,
fol. 511r,GB-E_1020,#1020,GB-E 1020-x,511,,
fol. 511v,GB-E_1021,#1021,GB-E 1021-x,,,
fol. 512r,GB-E_1022,#1022,GB-E 1022-x,512,,
fol. 512v,GB-E_1023,#1023,GB-E 1023-x,,,
fol. 513r,GB-E_1024,#1024,(nur Forts.),513,,
fol. 513v,GB-E_1025,#1025,GB-E 1025-x,,,
fol. 514r,GB-E_1026,#1026,GB-E 1026-x,514,,
fol. 514v,GB-E_1027,#1027,GB-E 1027-x,,,
fol. 515r,GB-E_1028,#1028,GB-E 1028-x,515,,
fol. 515v,GB-E_1029,#1029,GB-E 1029-x,,,
fol. 516r,GB-E_1030,#1030,GB-E 1030-x,516,,
fol. 516v,GB-E_1031,#1031,(nur Forts.),,,
fol. 517r,GB-E_1032,#1032,GB-E 1032-x,517,,
fol. 517v,GB-E_1033,#1033,GB-E 1033-x,,,
fol. 518r,GB-E_1034,#1034,GB-E 1034-x,518,,
fol. 518v,GB-E_1035,#1035,GB-E 1035-x,,,
fol. 519r,GB-E_1036,#1036,(nur Forts.),519,,
fol. 519v,GB-E_1037,#1037,GB-E 1037-x,,,
fol. 520r,GB-E_1038,#1038,GB-E 1038-x,520,,
fol. 520v,GB-E_1039,#1039,GB-E 1039-x,,,
fol. 521r,GB-E_1040,#1040,GB-E 1040-x,,,
fol. 521v,GB-E_1041,#1041,GB-E 1041-x,,,
fol. 522r,GB-E_1042,#1042,GB-E 1042-x,522,,
fol. 522v,GB-E_1043,#1043,GB-E 1043-x,,,
fol. 523r,GB-E_1044,#1044,GB-E 1044-x,523,,
fol. 523v,GB-E_1045,#1045,GB-E 1045-x,,,
fol. 524r,GB-E_1046,#1046,GB-E 1046-x,524,,
fol. 524v,GB-E_1047,#1047,GB-E 1047-x,,,
fol. 525r,GB-E_1048,#1048,GB-E 1048-x,525,,
fol. 525v,GB-E_1049,#1049,GB-E 1049-x,,,
fol. 526r,GB-E_1050,#1050,GB-E 1050-x,526,,
fol. 526v,GB-E_1051,#1051,GB-E 1051-x,,,
fol. 527r,GB-E_1052,#1052,GB-E 1052-x,527,,
fol. 527v,GB-E_1053,#1053,GB-E 1053-x,,,
fol. 528r,GB-E_1054,#1054,GB-E 1054-x,528,,
fol. 528v,GB-E_1055,#1055,GB-E 1055-x,,,
fol. 529r,GB-E_1056,#1056,GB-E 1056-x,529,,
fol. 529v,GB-E_1057,#1057,GB-E 1057-x,,,
fol. 530r,GB-E_1058,#1058,GB-E 1058-x,530,,
fol. 530v,GB-E_1059,#1059,GB-E 1059-x,,,
fol. 531r,GB-E_1060,#1060,(nur Forts.),531,,
fol. 531v,GB-E_1061,#1061,GB-E 1061-x,,,
fol. 532r,GB-E_1062,#1062,GB-E 1062-x,532,,
fol. 532v,GB-E_1063,#1063,GB-E 1063-x,,,
fol. 533r,GB-E_1064,#1064,GB-E 1064-x,533,,
fol. 533v,GB-E_1065,#1065,GB-E 1065-x,,,
fol. 534r,GB-E_1066,#1066,GB-E 1066-x,534,,
fol. 534v,GB-E_1067,#1067,(nur Forts.),,,
fol. 535r,GB-E_1068,#1068,GB-E 1068-x,535,,
fol. 535v,GB-E_1069,#1069,GB-E 1069-x,,,
fol. 536r,GB-E_1070,#1070,GB-E 1070-x,536,,
fol. 536v,GB-E_1071,#1071,GB-E 1071-x,,,
fol. 537r,GB-E_1072,#1072,GB-E 1072-x,,,
fol. 537v,GB-E_1073,#1073,GB-E 1073-x,,,
fol. 538r,GB-E_1074,#1074,GB-E 1074-x,538,,
fol. 538v,GB-E_1075,#1075,GB-E 1075-x,,,
fol. 539r,GB-E_1076,#1076,GB-E 1076-x,539,,
fol. 539v,GB-E_1077,#1077,GB-E 1077-x,,,
fol. 540r,GB-E_1078,#1078,GB-E 1078-x,540,,
fol. 540v,GB-E_1079,#1079,GB-E 1079-x,,,
fol. 541r,GB-E_1080,#1080,GB-E 1080-x,541,,
fol. 541v,GB-E_1081,#1081,GB-E 1081-x,,,
fol. 542r,GB-E_1082,#1082,GB-E 1082-x,,,
fol. 542v,GB-E_1083,#1083,GB-E 1083-x,,,
fol. 543r,GB-E_1084,#1084,GB-E 1084-x,543,,
fol. 543v,GB-E_1085,#1085,GB-E 1085-x,,,
fol. 544r,GB-E_1086,#1086,GB-E 1086-x,544,,
fol. 544v,GB-E_1087,#1087,GB-E 1087-x,,,
fol. 545r,GB-E_1088,#1088,GB-E 1088-x,545,,
fol. 545v,GB-E_1089,#1089,GB-E 1089-x,,,
fol. 546r,GB-E_1090,#1090,GB-E 1090-x,546,,
fol. 546v,GB-E_1091,#1091,GB-E 1091-x,,,
fol. 547r,GB-E_1092,#1092,GB-E 1092-x,547,,
fol. 547v,GB-E_1093,#1093,GB-E 1093-x,,,
fol. 548r,GB-E_1094,#1094,GB-E 1094-x,,,
fol. 548v,GB-E_1095,#1095,GB-E 1095-x,,,
fol. 549r,GB-E_1096,#1096,GB-E 1096-x,549,,
fol. 549v,GB-E_1097,#1097,GB-E 1097-x,,,
fol. 550r,GB-E_1098,#1098,GB-E 1098-x,550,,
fol. 550v,GB-E_1099,#1099,GB-E 1099-x,,,
fol. 551r,GB-E_1100,#1100,GB-E 1100-x,551,,
fol. 551v,GB-E_1101,#1101,GB-E 1101-x,,,
fol. 552r,GB-E_1102,#1102,GB-E 1102-x,553,,
fol. 552v,GB-E_1103,#1103,GB-E 1103-x,,,
fol. 553r,GB-E_1104,#1104,GB-E 1104-x,553,,
fol. 553v,GB-E_1105,#1105,GB-E 1105-x,,,
fol. 554r,GB-E_1106,#1106,(nur Forts.),554,,
fol. 554v,GB-E_1107,#1107,GB-E 1107-x,,,
fol. 555r,GB-E_1108,#1108,GB-E 1108-x,555,,
fol. 555v,GB-E_1109,#1109,GB-E 1109-x,,,
fol. 556r,GB-E_1110,#1110,GB-E 1110-x,556,,
fol. 556v,GB-E_1111,#1111,GB-E 1111-x,,,
fol. 557r,GB-E_1112,#1112,GB-E 1112-x,,,
fol. 557v,GB-E_1113,#1113,GB-E 1113-x,,,
fol. 558r,GB-E_1114,#1114,GB-E 1114-x,558,,
fol. 558v,GB-E_1115,#1115,GB-E 1115-x,,,
fol. 559r,GB-E_1116,#1116,GB-E 1116-x,559,,
fol. 559v,GB-E_1117,#1117,GB-E 1117-x,,,
fol. 560r,GB-E_1118,#1118,GB-E 1118-x,560,,
fol. 560v,GB-E_1119,#1119,GB-E 1119-x,,,
fol. 561r,GB-E_1120,#1120,GB-E 1120-x,561,,
fol. 561v,GB-E_1121,#1121,GB-E 1121-x,,,
fol. 562r,GB-E_1122,#1122,GB-E 1122-x,562,--512--,
fol. 562v,GB-E_1123,#1123,GB-E 1123-x,,,
fol. 563r,GB-E_1124,#1124,GB-E 1124-x,563,,
fol. 563v,GB-E_1125,#1125,GB-E 1125-x,,,
fol. 564r,GB-E_1126,#1126,GB-E 1126-x,564,--514--,
fol. 564v,GB-E_1127,#1127,GB-E 1127-x,,,
fol. 565r,GB-E_1128,#1128,GB-E 1128-x,565,--515--,
fol. 565v,GB-E_1129,#1129,(nur Forts.),,,
fol. 566r,GB-E_1130,#1130,GB-E 1130-x,566,--516--,
fol. 566v,GB-E_1131,#1131,(nur Forts.),,,
fol. 567r,GB-E_1132,#1132,GB-E 1132-x,567,--517--,
fol. 567v,GB-E_1133,#1133,GB-E 1133-x,,,
fol. 568r,GB-E_1134,#1134,GB-E 1134-x,568,,
fol. 568v,GB-E_1135,#1135,GB-E 1135-x,,,
fol. 569r,GB-E_1136,#1136,GB-E 1136-x,569,,
fol. 569v,GB-E_1137,#1137,GB-E 1137-x,,,
fol. 570r,GB-E_1138,#1138,GB-E 1138-x,570,--520--,
fol. 570v,GB-E_1139,#1139,GB-E 1139-x,,,
fol. 571r,GB-E_1140,#1140,GB-E 1140-x,571,--521--,
fol. 571v,GB-E_1141,#1141,GB-E 1141-x,,,
fol. 572r,GB-E_1142,#1142,GB-E 1142-x,572,--52--,
fol. 572v,GB-E_1143,#1143,GB-E 1143-x,,,
fol. 573r,GB-E_1144,#1144,GB-E 1144-x,573,,
fol. 573v,GB-E_1145,#1145,GB-E 1145-x,,,
fol. 574r,GB-E_1146,#1146,GB-E 1146-x,574,,
fol. 574v,GB-E_1147,#1147,GB-E 1147-x,,,
fol. 575r,GB-E_1148,#1148,GB-E 1148-x,575,,
fol. 575v,GB-E_1149,#1149,GB-E 1149-x,,,
fol. 576r,GB-E_1150,#1150,GB-E 1150-x,576,,
fol. 576v,GB-E_1151,#1151,GB-E 1151-x,,,
fol. 577r,GB-E_1152,#1152,GB-E 1152-x,517,,
fol. 577v,GB-E_1153,#1153,GB-E 1153-x,,,
fol. 578r,GB-E_1154,#1154,GB-E 1154-x,520,518,
fol. 578v,GB-E_1155,#1155,GB-E 1155-x,,,
fol. 579r,GB-E_1156,#1156,GB-E 1156-x,579,,
fol. 579v,GB-E_1157,#1157,GB-E 1157-x,,,
fol. 580r,GB-E_1158,#1158,GB-E 1158-x,580,--530--,
fol. 580v,GB-E_1159,#1159,GB-E 1159-x,,,
fol. 581r,GB-E_1160,#1160,GB-E 1160-x,581,--531--,
fol. 581v,GB-E_1161,#1161,GB-E 1161-x,,,
fol. 582r,GB-E_1162,#1162,GB-E 1162-x,582,,
fol. 582v,GB-E_1163,#1163,GB-E 1163-x,,,
fol. 583r,GB-E_1164,#1164,GB-E 1164-x,583,,
fol. 583v,GB-E_1165,#1165,GB-E 1165-x,,,
fol. 584r,GB-E_1166,#1166,GB-E 1166-x,584,,
fol. 584v,GB-E_1167,#1167,GB-E 1167-x,,,
fol. 585r,GB-E_1168,#1168,GB-E 1168-x,585,,
fol. 585v,GB-E_1169,#1169,GB-E 1169-x,,,
fol. 586r,GB-E_1170,#1170,GB-E 1170-x,586,,
fol. 586v,GB-E_1171,#1171,GB-E 1171-x,,,
fol. 587r,GB-E_1172,#1172,GB-E 1172-x,587,,
fol. 587v,GB-E_1173,#1173,GB-E 1173-x,,,
fol. 588r,GB-E_1174,#1174,(nur Forts.),588,,
fol. 588v,GB-E_1175,#1175,GB-E 1175-x,,,
fol. 589r,GB-E_1176,#1176,GB-E 1176-x,589,,
fol. 589v,GB-E_1177,#1177,GB-E 1177-x,,,
fol. 590r,GB-E_1178,#1178,GB-E 1178-x,590,,
fol. 590v,GB-E_1179,#1179,GB-E 1179-x,,,
fol. 591r,GB-E_1180,#1180,(nur Forts.),591,--51--,
fol. 591v,GB-E_1181,#1181,GB-E 1181-x,,,
fol. 592r,GB-E_1182,#1182,GB-E 1182-x,592,,
fol. 592v,GB-E_1183,#1183,GB-E 1183-x,,,
fol. 593r,GB-E_1184,#1184,GB-E 1184-x,593,,
fol. 593v,GB-E_1185,#1185,GB-E 1185-x,,,
fol. 594r,GB-E_1186,#1186,GB-E 1186-x,594,,
fol. 594v,GB-E_1187,#1187,GB-E 1187-x,,,
fol. 595r,GB-E_1188,#1188,GB-E 1188-x,595,,
fol. 595v,GB-E_1189,#1189,GB-E 1189-x,,,
fol. 596r,GB-E_1190,#1190,GB-E 1190-x,596,,
fol. 596v,GB-E_1191,#1191,(nur Forts.),,,
fol. 597r,GB-E_1192,#1192,GB-E 1192-x,597,,
fol. 597v,GB-E_1193,#1193,GB-E 1193-x,,,
fol. 598r,GB-E_1194,#1194,(nur Forts.),598,,
fol. 598v,GB-E_1195,#1195,GB-E 1195-x,,,
fol. 599r,GB-E_1196,#1196,GB-E 1196-x,599,,
fol. 599v,GB-E_1197,#1197,GB-E 1197-x,,,
fol. 600r,GB-E_1198,#1198,GB-E 1198-x,600,,
fol. 600v,GB-E_1199,#1199,(nur Forts.),,,
fol. 601r,GB-E_1200,#1200,GB-E 1200-x,601,,
fol. 601v,GB-E_1201,#1201,GB-E 1201-x,,,
fol. 602r,GB-E_1202,#1202,GB-E 1202-x,602,,
fol. 602v,GB-E_1203,#1203,GB-E 1203-x,,,
fol. 603r,GB-E_1204,#1204,GB-E 1204-x,603,,
fol. 603v,GB-E_1205,#1205,GB-E 1205-x,,,
fol. 604r,GB-E_1206,#1206,GB-E 1206-x,604,,
fol. 604v,GB-E_1207,#1207,GB-E 1207-x,,,
fol. 605r,GB-E_1208,#1208,GB-E 1208-x,605,,
fol. 605v,GB-E_1209,#1209,GB-E 1209-x,,,
fol. 606r,GB-E_1210,#1210,GB-E 1210-x,606,,
fol. 606v,GB-E_1211,#1211,GB-E 1211-x,,,
fol. 607r,GB-E_1212,#1212,(nur Forts.),607,,
fol. 607v,GB-E_1213,#1213,GB-E 1213-x,,,
fol. 608r,GB-E_1214,#1214,GB-E 1214-x,608,,
fol. 608v,GB-E_1215,#1215,GB-E 1215-x,,,
fol. 609r,GB-E_1216,#1216,GB-E 1216-x,609,,
fol. 609v,GB-E_1217,#1217,GB-E 1217-x,,,
fol. 610r,GB-E_1218,#1218,GB-E 1218-x,610,,
fol. 610v,GB-E_1219,#1219,GB-E 1219-x,,,
fol. 611r,GB-E_1220,#1220,GB-E 1220-x,611,,
fol. 611v,GB-E_1221,#1221,GB-E 1221-x,,,
fol. 612r,GB-E_1222,#1222,GB-E 1222-x,612,,
fol. 612v,GB-E_1223,#1223,GB-E 1223-x,,,
fol. 613r,GB-E_1224,#1224,GB-E 1224-x,613,,
fol. 613v,GB-E_1225,#1225,GB-E 1225-x,,,
fol. 614r,GB-E_1226,#1226,GB-E 1226-x,614,,
fol. 614v,GB-E_1227,#1227,GB-E 1227-x,,,
fol. 615r,GB-E_1228,#1228,GB-E 1228-x,615,,
fol. 615v,GB-E_1229,#1229,GB-E 1229-x,,,
fol. 616r,GB-E_1230,#1230,GB-E 1230-x,616,,
fol. 616v,GB-E_1231,#1231,GB-E 1231-x,,,
fol. 617r,GB-E_1232,#1232,GB-E 1232-x,617,,
fol. 617v,GB-E_1233,#1233,GB-E 1233-x,,,
fol. 618r,GB-E_1234,#1234,GB-E 1234-x,618,,
fol. 618v,GB-E_1235,#1235,GB-E 1235-x,,,
fol. 619r,GB-E_1236,#1236,GB-E 1236-x,619,,
fol. 619v,GB-E_1237,#1237,GB-E 1237-x,,,
fol. 620r,GB-E_1238,#1238,GB-E 1238-x,folio 620,,
fol. 620v,GB-E_1239,#1239,GB-E 1239-x,,,
fol. 621r,GB-E_1240,#1240,GB-E 1240-x,621,,
fol. 621v,GB-E_1241,#1241,GB-E 1241-x,,,
fol. 622r,GB-E_1242,#1242,GB-E 1242-x,622,,
fol. 622v,GB-E_1243,#1243,GB-E 1243-x,,,
fol. 623r,GB-E_1244,#1244,GB-E 1244-x,623,,
fol. 623v,GB-E_1245,#1245,GB-E 1245-x,,,
fol. 624r,GB-E_1246,#1246,GB-E 1246-x,624,,
fol. 624v,GB-E_1247,#1247,GB-E 1247-x,,,
fol. 625r,GB-E_1248,#1248,GB-E 1248-x,625,,
fol. 625v,GB-E_1249,#1249,GB-E 1249-x,,,
fol. 626r,GB-E_1250,#1250,GB-E 1250-x,626,,
fol. 626v,GB-E_1251,#1251,GB-E 1251-x,,,
fol. 627r,GB-E_1252,#1252,GB-E 1252-x,627,,
fol. 627v,GB-E_1253,#1253,GB-E 1253-x,,,
fol. 628r,GB-E_1254,#1254,GB-E 1254-x,628,,
fol. 628v,GB-E_1255,#1255,GB-E 1255-x,,,
fol. 629r,GB-E_1256,#1256,GB-E 1256-x,629,,
fol. 629v,GB-E_1257,#1257,GB-E 1257-x,,,
fol. 630r,GB-E_1258,#1258,GB-E 1258-x,630,,
fol. 630v,GB-E_1259,#1259,GB-E 1259-x,,,
fol. 631r,GB-E_1260,#1260,GB-E 1260-x,631,,
fol. 631v,GB-E_1261,#1261,GB-E 1261-x,,,
fol. 632r,GB-E_1262,#1262,GB-E 1262-x,63,,steht tatsache so da (letzte Ziffer vermutlich kaputt)
fol. 632v,GB-E_1263,#1263,GB-E 1263-x,,,
fol. 633r,GB-E_1264,#1264,GB-E 1264-x,633,,
fol. 633v,GB-E_1265,#1265,GB-E 1265-x,,,
fol. 634r,GB-E_1266,#1266,GB-E 1266-x,634,,
fol. 634v,GB-E_1267,#1267,GB-E 1267-x,,,
fol. 635r,GB-E_1268,#1268,GB-E 1268-x,633,,
fol. 635v,GB-E_1269,#1269,GB-E 1269-x,,,
fol. 636r,GB-E_1270,#1270,GB-E 1270-x,636,,
fol. 636v,GB-E_1271,#1271,GB-E 1271-x,,,
fol. 637r,GB-E_1272,#1272,GB-E 1272-x,637,,
fol. 637v,GB-E_1273,#1273,GB-E 1273-x,,,
fol. 638r,GB-E_1274,#1274,GB-E 1274-x,638,,
fol. 638v,GB-E_1275,#1275,GB-E 1275-x,,,
fol. 639r,GB-E_1276,#1276,GB-E 1276-x,639,,
fol. 639v,GB-E_1277,#1277,GB-E 1277-x,,,
fol. 640r,GB-E_1278,#1278,GB-E 1278-x,640,,
fol. 640v,GB-E_1279,#1279,GB-E 1279-x,,,
fol. 641r,GB-E_1280,#1280,GB-E 1280-x,,,
fol. 641v,GB-E_1281,#1281,GB-E 1281-x,,,
fol. 642r,GB-E_1282,#1282,GB-E 1282-x,642,,
fol. 642v,GB-E_1283,#1283,GB-E 1283-x,,,
fol. 643r,GB-E_1284,#1284,GB-E 1284-x,69,,steht so da (letzte Ziffer ist vermutlich kaputt)
fol. 643v,GB-E_1285,#1285,GB-E 1285-x,,,
fol. 644r,GB-E_1286,#1286,GB-E 1286-x,{64},,
fol. 644v,GB-E_1287,#1287,GB-E 1287-x,,,
fol. 645r,GB-E_1288,#1288,GB-E 1288-x,645,,
fol. 645v,GB-E_1289,#1289,GB-E 1289-x,,,
fol. 646r,GB-E_1290,#1290,GB-E 1290-x,646,,
fol. 646v,GB-E_1291,#1291,GB-E 1291-x,,,
fol. 647r,GB-E_1292,#1292,GB-E 1292-x,647,,
fol. 647v,GB-E_1293,#1293,GB-E 1293-x,,,
fol. 648r,GB-E_1294,#1294,GB-E 1294-x,648,,
fol. 648v,GB-E_1295,#1295,GB-E 1295-x,,,
fol. 649r,GB-E_1296,#1296,GB-E 1296-x,679,,
fol. 649v,GB-E_1297,#1297,GB-E 1297-x,,,
fol. 650r,GB-E_1298,#1298,GB-E 1298-x,{65},,
fol. 650v,GB-E_1299,#1299,GB-E 1299-x,,,
fol. 651r,GB-E_1300,#1300,GB-E 1300-x,651,,
fol. 651v,GB-E_1301,#1301,GB-E 1301-x,,,
fol. 652r,GB-E_1302,#1302,GB-E 1302-x,652,,
fol. 652v,GB-E_1303,#1303,GB-E 1303-x,,,
fol. 653r,GB-E_1304,#1304,GB-E 1304-x,653,,
fol. 653v,GB-E_1305,#1305,GB-E 1305-x,,,
fol. 654r,GB-E_1306,#1306,GB-E 1306-x,659,,
fol. 654v,GB-E_1307,#1307,GB-E 1307-x,,,
fol. 655r,GB-E_1308,#1308,GB-E 1308-x,655,,
fol. 655v,GB-E_1309,#1309,GB-E 1309-x,,,
fol. 656r,GB-E_1310,#1310,GB-E 1310-x,658,,
fol. 656v,GB-E_1311,#1311,GB-E 1311-x,,,
fol. 657r,GB-E_1312,#1312,GB-E 1312-x,659,,
fol. 657v,GB-E_1313,#1313,GB-E 1313-x,,,
fol. 658r,GB-E_1314,#1314,GB-E 1314-x,658,,
fol. 658v,GB-E_1315,#1315,GB-E 1315-x,,,
fol. 659r,GB-E_1316,#1316,GB-E 1316-x,659,,
fol. 659v,GB-E_1317,#1317,GB-E 1317-x,,,
fol. 660r,GB-E_1318,#1318,GB-E 1318-x,660,,
fol. 660v,GB-E_1319,#1319,GB-E 1319-x,,,
fol. 661r,GB-E_1320,#1320,GB-E 1320-x,661,,
fol. 661v,GB-E_1321,#1321,GB-E 1321-x,,,
