Zählung Helmchen,Scan-Dateiname,originale Scan-Nummer,Eintrag,Foliierung ar.,Foliierung lat.,Kommentar
fol. 113r,KB-E_227,#227,KB-E 227-x,112,Cxiii,
fol. 113v,KB-E_228,#228,KB-E 228-x,112,,
fol. 114r,KB-E_229,#229,KB-E 229-x,113,Cxiiii,
fol. 114v,KB-E_230,#230,KB-E 230-x,113,,
fol. 115r,KB-E_231,#231,KB-E 231-x,114,Cxv,
fol. 115v,KB-E_232,#232,KB-E 232-x,114,,
fol. 116r,KB-E_233,#233,KB-E 233-x,115,Cxvi,
fol. 116v,KB-E_234,#234,KB-E 234-x,115,,
fol. 117r,KB-E_235,#235,KB-E 235-x,116,Cxvii,
fol. 117v,KB-E_236,#236,KB-E 236-x,116,,
fol. 118r,KB-E_237,#237,KB-E 237-x,117,Cxviii,
fol. 118v,KB-E_238,#238,KB-E 238-x,117,,
fol. 119r,KB-E_239,#239,KB-E 239-x,118,Cxviiii,
fol. 119v,KB-E_240,#240,KB-E 240-x,118,,
fol. 120r,KB-E_241,#241,KB-E 241-x,119,Cxx,
fol. 120v,KB-E_242,#242,KB-E 242-x,119,,
fol. 121r,KB-E_243,#243,KB-E 243-x,120,Cxxi,
fol. 121v,KB-E_244,#244,KB-E 244-x,120,,
fol. 122r,KB-E_245,#245,KB-E 245-x,121,Cxxii,
fol. 122v,KB-E_246,#246,KB-E 246-x,121,,
fol. 123r,KB-E_247,#247,KB-E 247-x,122,Cxxiii,
fol. 123v,KB-E_248,#248,KB-E 248-x,122,,
fol. 124r,KB-E_249,#249,KB-E 249-x,123,Cxxiiii,
fol. 124v,KB-E_250,#250,KB-E 250-x,123,,
fol. 125r,KB-E_251,#251,KB-E 251-x,124,Cxxv,
fol. 125v,KB-E_252,#252,KB-E 252-x,124,,
fol. 126r,KB-E_253,#253,KB-E 253-x,125,Cxxvi,
fol. 126v,KB-E_254,#254,KB-E 254-x,125,,
fol. 127r,KB-E_255,#255,KB-E 255-x,126,Cxxvii,
fol. 127v,KB-E_256,#256,KB-E 256-x,126,,
fol. 128r,KB-E_257,#257,KB-E 257-x,127,Cxxviii,
fol. 128v,KB-E_258,#258,KB-E 258-x,127,,
fol. 129r,KB-E_259,#259,KB-E 259-x,128,Cxxviiii,
fol. 129v,KB-E_260,#260,KB-E 260-x,128,,
fol. 130r,KB-E_261,#261,KB-E 261-x,129,Cxxx,
fol. 130v,KB-E_262,#262,KB-E 262-x,129,,
fol. 131r,KB-E_263,#263,KB-E 263-x,130,Cxxxi,
fol. 131v,KB-E_264,#264,KB-E 264-x,130,,
