eintrag,haus,lage,jahr,hypothek,typen,std-geb,gebühr,verhältnis,std-preis,preis,original
GB-D 1028-1,keine_id,Alter Kohlmarkt,1448,ja,kauf ,540,18 s.,120,270,270 tl.,umb zwaihundert und sibenczig pfund phenning  
GB-D 1028-2,keine_id,Graben,1449,,,72,72 d.,,,,
GB-D 1028-3,keine_id,Stadtgraben / vor Widmertor,1450,ja,kauf ,42,42 d.,120,21,21 tl.,umb xxi tl. d.  
GB-D 1028-4,keine_id,Krotental / vor Stubentor,1449,ja,kauf ,52,52 d.,120,26,26 tl.,umb xxvi tl. d.  
GB-D 1028-5,keine_id,Schenkenstraße,1451,,,,0 d.,,40,40 tl.,umb virczig phund phenning  
GB-D 1029-1,keine_id,Kienmarkt / Rotgasse,1449,,kauf ,,,,400,400 tl.,umb virhundert phunt phenning  
GB-D 1029-2,DB5507,Kammerhof,1450,,,72,72 d.,,,,
GB-D 1029-3,keine_id,Alter Kohlmarkt,1450,,kauf ,456,15 s. 6 d.,120,228,228 tl.,umb zwaihundert achtundzwainczig phunt phenning  
GB-D 1029-4,keine_id,vor Stubentor,1450,ja,,180,6 s.,120,90,90 tl.,umb Newnczig pfunt pfenning  
GB-D 1030-1,keine_id,Heiligenkreuzerhof / hintere Peckenstraße,1450,,kauf ,960,4 tl.,125,500,500 tl.,umb vᶜ tl. d.  
GB-D 1030-2,keine_id,Walichstraße,1450,ja,,,0 d.,,,,
GB-D 1030-3,keine_id,Neuer Markt,1450,ja,kauf ,180,6 s.,240,180,180 tl.,umb hundert und Achczig phund phenning  
GB-D 1030-4,keine_id,vordere Peckenstraße,1450,,,300,10 s.,120,150,150 tl.,umb Anderthal hundert phund phenning  
GB-D 1031-1,keine_id,Alter Fleischmarkt,1451,,,550,18 s. 10 d.,120,275,275 tl.,umb zwaihundert und funfundsibenczig pfunt phenning  
GB-D 1031-2,keine_id,Rosstränke / vor Werdertor,1451,,,42,42 d.,120,21,21 tl.,umb Ainsundzwainczig phund phenning  
GB-D 1031-3,keine_id,Mehlzeile,1451,,,270,9 s.,124,140,140 tl.,umb hundert und virczig phund phenning  
GB-D 1031-4,keine_id,Lichtensteg,1452,,kauf ,200,6 s. 20 d.,120,100,100 tl.,umb C tl. d.  
GB-D 1031-5,DB0113,Haarhof,1452,ja,,,0 d.,,,,
GB-D 1032-1,keine_id,unter den Riemern,1452,,kauf ,480,2 tl.,125,250,250 tl.,umb dritthalbhundert phund phenning  
GB-D 1032-2,keine_id,innerhalb Stubentor / Wollzeile,1452,ja,,720,3 tl.,126,380,380 tl.,umb drewhundert und Achczig pfunt pfenning  
GB-D 1032-3,keine_id,Graben / Mehlzeile,1453,,,72,72 d.,,,,
GB-D 1032-4,DB0002,Neulucke / vor Widmertor,1453,,kauf ,80,80 d.,123,41,41 tl.,umb xli tl. d.  
GB-D 1033-1,keine_id,Krugstraße / Ringmauer,1453,,kauf ,164,5 s. 14 d.,120,82,82 tl.,umb lxxxii tl. d.  
GB-D 1033-2,keine_id,St. Johannsstraße,1453,,,156,5 s. 6 d.,120,78,78 tl.,umb Achtundsibenczig phund phenning  
GB-D 1033-3,keine_id,Graben / Schlossergasse,1453,ja,kauf ,720,3 tl.,120,360,360 tl.,umb ccclx tl. d.  
GB-D 1033-4,DB6000,Scheffstraße,1453,,,145,0.5 tl. 25 d.,,,,
GB-D 1033-5,keine_id,Neuer Markt,1453,,,420,14 s.,102,180,180 tl.,umb hundert und Achczig phund phenning  
GB-D 1033-6,keine_id,Salzgries,1453,ja,,72,72 d.,,,,
GB-D 1034-1,DB5107,hinter St. Pankraz,1453,,,,0 d.,,166,166 tl.,umb hundert und sechsundsechczig pfund pfenning  
GB-D 1034-2,DB0117,hinter St. Pankraz / Retzengraben,1453,,kauf ,,0 d.,,24,24 tl.,umb virundczwainczig pfund pfenning  
GB-D 1034-3,DB1044,Badstube zu den Röhren / Weiße Brüder,1454,ja,,100,3 s. 10 d.,120,50,50 tl.,umb l tl. d.  
GB-D 1034-4,DB5102,hinter St. Pankraz,1454,,kauf ,300,10 s.,120,150,150 tl.,umb i½ᶜ tl. d.  
GB-D 1034-5,DB1008,Am Hof / Lederhof,1454,,kauf ,90,3 s.,120,45,45 tl.,umb xlv tl. d.  
GB-D 1034-6,DB5413,Fischmarkt / Hoher Markt,1454,,kauf ,600,2.5 tl.,120,300,300 tl.,umb ccc tl. d.  
GB-D 1035-1,DB5030,Schiltergasse,1454,ja,,,0 d.,,,,
GB-D 1035-2,keine_id,vordere Peckenstraße,1454,,,72,72 d.,,,,
GB-D 1035-3,DB1007,Herzoghof / Lederhof,1454,,,300,10 s.,120,150,150 tl.,umb Anderthalb hundert pfunt pfenning  
GB-D 1035-4,DB5035,Schiltergasse,1454,,,1100,4 tl. 4 s. 20 d.,120,550,550 tl.,umb funfhundert und funfczig pfund pfenning  
GB-D 1035-5,keine_id,hintere Peckenstraße,1454,,,1000,4 tl. 40 d.,120,500,500 tl.,umb funfhundert pfund phenning  
GB-D 1036-1,keine_id,Kumpflucke,1454,,,,0 d.,,,,
GB-D 1036-2,keine_id,hintere Peckenstraße,1454,,,,0 d.,,,,
GB-D 1036-3,keine_id,hintere Peckenstraße,1454,,,,0 d.,,,,
GB-D 1036-4,DB0026,Alserstraße / vor Schottentor,1454,,,240,1 tl.,130,130,130 tl.,umb hundert und dreissig pfund pfenning  
GB-D 1036-5,DB9004b,Petlpuhl / vor Schottentor,1454,ja,,,0 d.,,,,
GB-D 1036-6,keine_id,Kernerstraße,1455,,,600,2.5 tl.,120,300,300 tl.,umb ccc tl. d.  
GB-D 1037-1,keine_id,Gässlein zu unser lieben Frau,1455,,,72,72 d.,,,,
GB-D 1037-2,DB1032,Schulhof / Weiße Brüder,1455,,,720,3 tl.,133,400,400 tl.,umb virhundert pfund pfenning  
GB-D 1037-3,keine_id,Neuer Markt,1455,,kauf ,270,9 s.,128,145,145 tl.,umb c xlv tl. d.  
GB-D 1037-4,keine_id,Wollzeile,1455,ja,,560,18 s. 20 d.,120,280,280 tl.,umb zwaihundert und achczig pfunt pfenning  
GB-D 1037-5,DB7006,vor Kernertor,1455,ja,,242,1 tl. 2 d.,120,121,121 tl.,umb hundert und Ainsundzwainczig pfunt pfenning  
GB-D 1038-1,keine_id,Graben,1455,,,200,6 s. 20 d.,120,100,100 tl.,umb hundert pfunt pfenning  
GB-D 1038-2,keine_id,Kienmarkt,1455,,,1120,4 tl. 5 s. 10 d.,120,560,560 tl.,umb funfhundert und sechczig pfunt pfenning  
GB-D 1038-3,keine_id,hintere Peckenstraße,1455,,,72,72 d.,,,,
GB-D 1038-4,keine_id,Greut / vor Stubentor,1456,,,144,0.5 tl. 24 d.,120,72,72 tl.,umb lxxii tl. d.  
GB-D 1038-5,keine_id,Salzgries,1456,,,196,6 s. 16 d.,120,98,98 tl.,umb acht und Newnczigk phunt phenning  
GB-D 1038-6,keine_id,vor Kernertor,1456,,,256,1 tl. 16 d.,120,128,128 tl.,umb C und xxviii tl. d.  
